EmployeeID,Name,Gender,Age,Department,EducationLevel,EducationField,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,PerformanceRating,Attrition,TrainingTimesLastYear
10001,Employee_0,Female,50,Marketing,PhD,Medical,Executive,182876,21,7,4,No,8
10002,Employee_1,Male,36,Operations,Masters,Life Sciences,Coordinator,94288,9,19,4,No,7
10003,Employee_2,Male,29,Sales,Masters,Other,Executive,81195,20,5,4,No,3
10004,Employee_3,Male,42,Finance,High School,Human Resources,Analyst,211002,11,2,3,Yes,4
10005,Employee_4,Female,40,Marketing,High School,Medical,Assistant,194053,14,12,3,No,4
10006,Employee_5,Female,44,Sales,PhD,Human Resources,Coordinator,99298,20,12,5,No,5
10007,Employee_6,Female,32,Sales,Bachelors,Technical Degree,Assistant,236376,9,1,4,Yes,2
10008,Employee_7,Male,32,Marketing,Bachelors,Technical Degree,Engineer,69499,13,4,1,No,4
10009,Employee_8,Male,45,IT,PhD,Marketing,Analyst,199631,12,16,3,No,1
10010,Employee_9,Male,57,IT,High School,Technical Degree,Manager,275198,4,5,3,No,9
10011,Employee_10,Male,45,Finance,High School,Marketing,Engineer,272997,5,1,5,No,0
10012,Employee_11,Female,24,Finance,Bachelors,Technical Degree,Assistant,126347,23,3,3,No,0
10013,Employee_12,Male,43,Marketing,Masters,Technical Degree,Coordinator,235735,1,10,3,Yes,9
10014,Employee_13,Male,23,Operations,Masters,Medical,Engineer,52431,21,7,5,No,6
10015,Employee_14,Female,45,IT,PhD,Technical Degree,Engineer,224555,16,11,4,No,1
10016,Employee_15,Female,51,Marketing,High School,Life Sciences,Analyst,152720,3,7,5,No,3
10017,Employee_16,Male,59,Finance,Masters,Technical Degree,Engineer,79153,13,10,3,No,4
10018,Employee_17,Female,23,Finance,Masters,Life Sciences,Engineer,298512,9,19,4,No,6
10019,Employee_18,Female,42,IT,Bachelors,Other,Manager,206076,2,7,2,No,1
10020,Employee_19,Male,54,Finance,High School,Life Sciences,Assistant,249724,24,7,2,No,5
10021,Employee_20,Female,33,HR,PhD,Other,Engineer,86985,2,16,4,No,0
10022,Employee_21,Female,43,Sales,High School,Medical,Manager,138737,14,19,3,No,6
10023,Employee_22,Male,46,Marketing,PhD,Marketing,Assistant,242133,5,19,4,No,8
10024,Employee_23,Male,48,IT,High School,Life Sciences,Executive,184470,16,15,4,No,4
10025,Employee_24,Female,49,IT,High School,Technical Degree,Executive,259465,11,13,4,No,4
10026,Employee_25,Male,37,Finance,High School,Other,Executive,80861,21,10,3,No,3
10027,Employee_26,Male,36,HR,High School,Technical Degree,Coordinator,242977,19,6,4,No,2
10028,Employee_27,Male,24,HR,Masters,Technical Degree,Manager,157118,23,15,3,No,8
10029,Employee_28,Female,58,IT,Masters,Human Resources,Manager,226713,28,12,4,No,4
10030,Employee_29,Female,28,Operations,Masters,Medical,Analyst,39078,10,14,3,Yes,7
10031,Employee_30,Female,42,HR,Bachelors,Marketing,Analyst,81047,24,15,3,Yes,8
10032,Employee_31,Female,30,Operations,Bachelors,Technical Degree,Coordinator,265458,3,8,2,No,4
10033,Employee_32,Female,39,IT,High School,Life Sciences,Assistant,245048,25,2,3,No,9
10034,Employee_33,Female,25,Sales,High School,Other,Engineer,266293,27,18,4,No,8
10035,Employee_34,Male,46,Operations,Masters,Medical,Assistant,147832,25,19,3,Yes,1
10036,Employee_35,Female,35,IT,PhD,Marketing,Assistant,155150,5,4,2,No,8
10037,Employee_36,Female,30,Operations,High School,Other,Assistant,187087,0,9,5,No,3
10038,Employee_37,Female,47,IT,Bachelors,Life Sciences,Engineer,63320,19,16,4,No,5
10039,Employee_38,Female,23,Sales,Bachelors,Human Resources,Manager,120827,22,14,4,No,5
10040,Employee_39,Female,41,Marketing,Bachelors,Life Sciences,Executive,289931,27,7,4,Yes,5
10041,Employee_40,Female,49,Operations,Masters,Technical Degree,Manager,54826,15,14,5,Yes,1
10042,Employee_41,Male,28,HR,Masters,Other,Engineer,130734,14,13,2,No,6
10043,Employee_42,Male,29,IT,High School,Marketing,Coordinator,187702,16,19,2,No,5
10044,Employee_43,Male,56,Sales,High School,Marketing,Executive,259834,7,6,1,Yes,0
10045,Employee_44,Male,35,Finance,High School,Human Resources,Analyst,207235,27,11,3,No,1
10046,Employee_45,Male,38,Operations,Bachelors,Human Resources,Executive,128511,25,16,3,No,6
10047,Employee_46,Male,57,Operations,High School,Medical,Engineer,189033,11,16,3,Yes,0
10048,Employee_47,Male,25,Marketing,PhD,Life Sciences,Coordinator,111941,26,9,3,Yes,0
10049,Employee_48,Female,23,Operations,Bachelors,Life Sciences,Assistant,235209,21,18,5,No,0
10050,Employee_49,Male,27,Finance,Bachelors,Medical,Engineer,128818,20,13,4,No,7
10051,Employee_50,Male,25,Marketing,Bachelors,Other,Executive,182360,9,10,3,No,3
10052,Employee_51,Male,50,Finance,Masters,Other,Engineer,283627,26,1,4,No,3
10053,Employee_52,Male,39,Sales,High School,Life Sciences,Manager,125081,14,17,5,No,1
10054,Employee_53,Female,47,HR,Masters,Human Resources,Engineer,66877,29,6,5,No,0
10055,Employee_54,Female,55,Sales,High School,Technical Degree,Analyst,241957,8,11,4,Yes,9
10056,Employee_55,Female,31,Marketing,PhD,Medical,Coordinator,102715,1,1,4,Yes,8
10057,Employee_56,Male,57,Sales,Bachelors,Technical Degree,Manager,171398,4,19,5,No,6
10058,Employee_57,Female,35,Finance,Bachelors,Medical,Analyst,140091,5,17,1,Yes,3
10059,Employee_58,Male,52,IT,Bachelors,Technical Degree,Manager,162632,6,5,3,No,5
10060,Employee_59,Male,36,Marketing,Bachelors,Medical,Manager,113186,20,9,5,No,1
10061,Employee_60,Female,29,Finance,High School,Human Resources,Manager,192962,24,19,4,No,6
10062,Employee_61,Female,35,Finance,Bachelors,Marketing,Engineer,181094,0,14,3,No,1
10063,Employee_62,Female,44,Sales,High School,Life Sciences,Engineer,100316,22,4,3,Yes,9
10064,Employee_63,Female,42,HR,PhD,Technical Degree,Manager,58380,25,19,4,No,7
10065,Employee_64,Female,37,Operations,Masters,Marketing,Engineer,140198,6,2,4,No,7
10066,Employee_65,Female,39,Marketing,High School,Marketing,Engineer,294500,19,4,4,No,0
10067,Employee_66,Male,45,Finance,Bachelors,Technical Degree,Manager,100326,24,7,4,No,7
10068,Employee_67,Male,47,Marketing,Masters,Other,Manager,144994,29,7,4,No,1
10069,Employee_68,Male,46,Marketing,PhD,Medical,Engineer,250971,11,7,2,No,5
10070,Employee_69,Male,50,Sales,Masters,Medical,Assistant,292805,15,11,3,No,0
10071,Employee_70,Male,36,Operations,Masters,Marketing,Manager,198484,15,7,3,No,4
10072,Employee_71,Female,22,Finance,PhD,Marketing,Manager,295064,10,10,4,No,6
10073,Employee_72,Female,46,IT,PhD,Life Sciences,Analyst,275378,20,13,4,No,9
10074,Employee_73,Male,28,Marketing,Bachelors,Other,Manager,255314,3,7,4,No,0
10075,Employee_74,Female,30,IT,Masters,Marketing,Engineer,265612,12,9,4,No,1
10076,Employee_75,Male,45,Operations,PhD,Marketing,Engineer,85230,6,6,4,No,6
10077,Employee_76,Female,22,Marketing,Bachelors,Medical,Engineer,89321,3,16,4,No,5
10078,Employee_77,Male,29,Finance,PhD,Other,Coordinator,162028,14,3,4,Yes,2
10079,Employee_78,Male,45,HR,Bachelors,Medical,Analyst,261447,18,12,4,No,9
10080,Employee_79,Male,32,Operations,High School,Marketing,Coordinator,131757,8,3,3,No,1
10081,Employee_80,Female,38,IT,PhD,Human Resources,Analyst,296847,10,4,3,Yes,9
10082,Employee_81,Male,29,Operations,Masters,Marketing,Executive,226200,7,3,4,No,3
10083,Employee_82,Female,56,Sales,Masters,Human Resources,Manager,102099,0,17,4,Yes,2
10084,Employee_83,Female,56,Sales,PhD,Technical Degree,Coordinator,192932,22,5,3,No,6
10085,Employee_84,Male,54,Sales,PhD,Technical Degree,Coordinator,61585,24,1,4,No,7
10086,Employee_85,Male,26,Sales,Masters,Medical,Coordinator,73585,23,10,4,Yes,1
10087,Employee_86,Female,49,HR,Masters,Human Resources,Executive,206313,7,13,3,No,9
10088,Employee_87,Female,28,Marketing,High School,Other,Manager,72229,12,4,4,No,6
10089,Employee_88,Male,30,IT,PhD,Medical,Assistant,116652,21,5,2,No,7
10090,Employee_89,Male,29,Operations,High School,Other,Engineer,279474,26,9,5,No,5
10091,Employee_90,Male,33,Operations,PhD,Marketing,Analyst,209436,3,7,1,Yes,5
10092,Employee_91,Female,55,Operations,PhD,Marketing,Assistant,290116,7,13,4,No,9
10093,Employee_92,Female,54,HR,PhD,Human Resources,Manager,49975,2,2,5,No,0
10094,Employee_93,Male,44,Finance,High School,Other,Assistant,187795,28,11,3,No,3
10095,Employee_94,Male,45,Finance,Bachelors,Technical Degree,Manager,239373,8,15,3,No,0
10096,Employee_95,Male,58,Sales,PhD,Technical Degree,Analyst,227133,28,16,4,Yes,3
10097,Employee_96,Female,56,HR,Bachelors,Other,Analyst,210225,1,0,3,No,1
10098,Employee_97,Female,43,Finance,PhD,Medical,Analyst,94324,1,9,4,No,4
10099,Employee_98,Female,48,Finance,Masters,Medical,Coordinator,206037,27,9,4,No,9
10100,Employee_99,Female,56,HR,PhD,Medical,Assistant,165720,12,1,3,No,8
10101,Employee_100,Male,22,Operations,Bachelors,Other,Coordinator,196205,14,8,1,No,9
10102,Employee_101,Female,56,Sales,PhD,Life Sciences,Manager,126059,27,12,4,No,2
10103,Employee_102,Female,58,Finance,PhD,Human Resources,Analyst,128317,22,15,5,No,7
10104,Employee_103,Female,35,Marketing,High School,Human Resources,Assistant,231207,11,17,2,Yes,2
10105,Employee_104,Male,24,Finance,Bachelors,Medical,Engineer,131459,25,18,5,Yes,5
10106,Employee_105,Female,22,Operations,Bachelors,Technical Degree,Executive,267697,3,11,3,No,3
10107,Employee_106,Male,26,Finance,Bachelors,Technical Degree,Assistant,230422,25,7,4,No,7
10108,Employee_107,Male,47,Marketing,Bachelors,Other,Executive,131520,7,16,4,No,5
10109,Employee_108,Male,35,Sales,Bachelors,Life Sciences,Coordinator,91272,8,14,4,Yes,7
10110,Employee_109,Female,48,Sales,PhD,Life Sciences,Analyst,253224,22,9,5,No,0
10111,Employee_110,Female,30,Finance,PhD,Marketing,Executive,174832,4,14,5,No,5
10112,Employee_111,Male,36,Finance,Masters,Life Sciences,Executive,182999,23,14,3,No,0
10113,Employee_112,Female,36,Finance,Masters,Marketing,Analyst,91367,19,6,3,No,0
10114,Employee_113,Male,47,Marketing,Bachelors,Technical Degree,Analyst,259027,17,12,4,No,7
10115,Employee_114,Female,34,IT,Bachelors,Medical,Manager,262750,10,16,3,No,6
10116,Employee_115,Female,53,Finance,High School,Human Resources,Coordinator,265806,14,8,2,Yes,2
10117,Employee_116,Male,53,IT,Masters,Life Sciences,Manager,213305,27,7,4,No,5
10118,Employee_117,Female,25,Finance,PhD,Marketing,Manager,74738,21,19,4,No,8
10119,Employee_118,Female,51,HR,PhD,Other,Manager,63397,8,17,5,No,6
10120,Employee_119,Male,58,Operations,PhD,Human Resources,Engineer,232332,16,12,2,No,2
10121,Employee_120,Female,44,IT,Masters,Human Resources,Engineer,141453,26,15,2,No,5
10122,Employee_121,Female,36,Marketing,High School,Human Resources,Assistant,49816,25,8,4,Yes,3
10123,Employee_122,Female,50,Marketing,Bachelors,Medical,Manager,275011,11,11,1,Yes,2
10124,Employee_123,Female,57,HR,Masters,Human Resources,Analyst,243567,6,11,4,No,8
